"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"2","0.000530067","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=1 Ack=168 Win=65535 Len=0"
"3","0.079131330","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"4","0.079184073","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=168 Ack=114 Win=62780 Len=0"
"5","2.008267272","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"6","2.008815305","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=114 Ack=317 Win=65535 Len=0"
"7","2.087608592","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"8","2.087641604","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=317 Ack=227 Win=62780 Len=0"
"9","4.007627327","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"10","4.008052273","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=227 Ack=484 Win=65535 Len=0"
"11","4.088364449","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"12","4.088394420","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=484 Ack=340 Win=62780 Len=0"
"13","6.021105189","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"14","6.021759191","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=340 Ack=683 Win=65535 Len=0"
"15","6.101430886","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"16","6.101535438","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=683 Ack=453 Win=62780 Len=0"
"17","8.022439158","10.0.2.15","149.154.167.99","TLSv1.2","189","Application Data"
"18","8.022758608","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=453 Ack=816 Win=65535 Len=0"
"19","8.186845807","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"20","8.186882238","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=816 Ack=566 Win=62780 Len=0"
"21","9.613037789","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"22","9.613388043","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=566 Ack=983 Win=65535 Len=0"
"23","9.744676086","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"24","9.744706378","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=983 Ack=679 Win=62780 Len=0"
"25","9.754684365","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"26","9.755012913","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=679 Ack=1182 Win=65535 Len=0"
"27","10.000895800","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
"28","10.001273407","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=679 Ack=1331 Win=65535 Len=0"
"29","10.033431109","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"30","10.033717622","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=679 Ack=1498 Win=65535 Len=0"
"46","10.096693512","149.154.167.99","10.0.2.15","TLSv1.2","459","Application Data"
"47","10.113917304","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"48","10.113995844","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=1498 Ack=1195 Win=62780 Len=0"
"49","10.145305223","10.0.2.15","149.154.167.99","TLSv1.2","223","Application Data"
"50","10.145563692","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=1195 Ack=1665 Win=65535 Len=0"
"68","12.015788481","10.0.2.15","149.154.167.99","TLSv1.2","255","Application Data"
"69","12.016223246","149.154.167.99","10.0.2.15","TCP","62","443  >  36714 [ACK] Seq=1195 Ack=1864 Win=65535 Len=0"
"70","12.097824217","149.154.167.99","10.0.2.15","TLSv1.2","169","Application Data"
"71","12.143438333","10.0.2.15","149.154.167.99","TCP","56","36714  >  443 [ACK] Seq=1864 Ack=1308 Win=62780 Len=0"
"72","13.209517024","10.0.2.15","149.154.167.99","TLSv1.2","205","Application Data"
